bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
BIN 51-8/4,NY,1993,scour,Webster County L. Fork of Holly R,1992,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN W-0714,NY,1993,scour,Fruit Tree Rd in Washington Co Raven Rock Run,1992,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2217440,NY,1994,pc,Stowell Road Glendenning Creek,1993,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 49-SR019-06.45,NY,1994,tc,SR 19 Mississippi River,1993,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 18-87,NY,1995,scour,Jackson Co. (Mt. Alto) Little Mill Creek,1994,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3201320,NY,1996,tc,Long Road West Kill Creek,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1043,NY,1996,pc,SR 47 Allegany County North Creek,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN G-0048,NY,1996,pc,"Savage River Road, Garrett Cty. Savage River",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 05/04,NY,1996,pc,"Deneen Road, Washington County Trib. Potomac River",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 05/15,NY,1996,pc,"Weller Road, Washington County Trib. Licking Creek",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 14/07,NY,1996,pc,"Welty Church Road, Washington Co Little Antietam Crk",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2227010,NY,1996,tc,Van Benschoten Road Plattekill,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3351750,NY,1996,tc,Cr1 Tremperkill Road Tremperkill,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3353060,NY,1996,tc,Flair Street E. Branch Deleware R,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3356640,NY,1996,tc,TH 43 Sipple Road Hankins Creek,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3356660,NY,1996,tc,TH59 Acid Factory Pea Brook,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2267400,NY,1996,pc,Vanderpool Road Prospect Valley Crk,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 12/320,NY,1996,pc,Naches River Bridge Naches River,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 39-86,NY,1996,scour,Preston Co. Spruce Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 14-03,NY,1996,scour,Hampshire Co. Branch Lt. Cacapon R,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 14-13,NY,1996,scour,Hampshire Co. Old Man Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 14-08,NY,1996,scour,Hampshire Co. Mill Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 14-220,NY,1996,scour,Hampshire Co. Mill Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 16-20,NY,1996,scour,Hardy Co. Upper Cove Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 29-02,NY,1996,scour,Mineral Co. Abram Creek,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 29-42,NY,1996,scour,Mineral Co. Deep Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 33-07,NY,1996,scour,Morgan Co. Cacapon River,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 38-12,NY,1996,scour,Pocahontas Co. Greenbrier River,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 42-39,NY,1996,scour,Randolph Co. Shavers Run,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN A-0031,NY,1996,pc,"Beachwood Road, Allegany County Koonz Run",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3332010,NY,1996,pc,Burch Hill Road Catherine Creek,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3302320,NY,1996,tc,Ormsby Road Gulf Brook,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3302610,NY,1996,tc,Spear Road Bogurt River,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN CL-0342,NY,1996,pc,"Newport Road, Carroll County Gillis Falls",1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 118BR15,NY,1997,tc,Montgomery nan,1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 04-16,NY,1997,scour,Braxton Co. Fk of Lt. Kanawha Rv,1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1058509,NY,1998,pc,"Wantagh Parkway, Nassau Co. Goose Creek",1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 116BR10,NY,1998,tc,Bristol nan,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 20-57,NY,1998,scour,Kanawha Co. Blue Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 53-53,NY,1998,scour,Wirt Co. (Parrish Fork) Parrish Fork,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 18-21,NY,1998,scour,Jackson Co. (Lockhart Fork) Lt. Fork Sandy Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 31-76,NY,1998,scour,Monogalia Co. Booths Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 17-04,NY,1998,scour,Harrison Co. Bingham Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 09-25,NY,1998,scour,Dodridge Co. Meathouse Fork,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 11-15,NY,1998,scour,Gilmer Co. Grass Run,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3335950,NY,1998,pc,CR 39 Clintonville Road Little Ausable River,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2218880,NY,1998,tc,Town of Spencer - Hart Road Sulphur Spring Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3367390,NY,1998,tc,Springville-Boston Road Spring Brook,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2219830,NY,1998,pc,Buel Road E. Br. Deer Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3335900,NY,1998,pc,Dashnaw Road Little Ausable River,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3337430,NY,1998,pc,WPA Road W. Br. Deer Creek,1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA64144,NY,1999,tc,"Strong River Road, Simpson Co. Strong River",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 101/214,NY,1999,pc,Nolan Creek Bridge Nolan Creek,1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA64-144,NY,1999,tc,"Strong River Road, Simpson Co. Strong River",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1091550,NY,1999,pc,Route 340 Sparkill Creek,1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 4310090,NY,2000,tc,"Co rte 27, Montgomery Co. Barge Canal",1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3357400,NY,2000,pc,TH48 Tusten Road Ten Mile River,1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3340080,NY,2000,tc,"Co Rte 19, East Road - Lewis Co. S.B. Negre Crrek",1999,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 30-A622-2.01,NY,2001,pc,Shelton Mission Rd Greene Co. Dry Creek,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2020410,NY,2001,pc,Route 28A Bushkill Creek,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA69-31,NY,2002,tc,"Coldwater-Arkabutla Rd, Tate Co. Hickahala Creek",2001,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 8064,NY,2003,tc,County Road S - 8 nan,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3330270,NY,2003,tc,CR 1 S Br. Van Campen Cre,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3332670,NY,2003,tc,County Road 16 Meads Creek,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 193,NY,2003,pc,113th Street Thorpe Creek,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
